sample	unclassified-kra_ERR9709092_	unclassified-kra_ERR9709093_	unclassified-kra_ERR9709094_	unclassified-kra_ERR9709096_	unclassified-kra_ERR9709099_	unclassified-kra_ERR9709100_	unclassified-kra_ERR9709101_	unclassified-kra_ERR9709103_	unclassified-kra_ERR9709105_	unclassified-kra_ERR9709107_	unclassified-kra_ERR9709108_	unclassified-kra_ERR9709109_	unclassified-kra_ERR9709114_	unclassified-kra_ERR9709115_	unclassified-kra_ERR9709117_	unclassified-kra_ERR9709118_	unclassified-kra_ERR9709119_	unclassified-kra_ERR9709121_	unclassified-kra_ERR9709122_	unclassified-kra_ERR9709123_	unclassified-kra_ERR9709124_	unclassified-kra_ERR9709125_	unclassified-kra_ERR9709126_	unclassified-kra_ERR9709127_	unclassified-kra_ERR9709129_	unclassified-kra_ERR9709130_	unclassified-kra_ERR9709132_	unclassified-kra_ERR9709134_	unclassified-kra_ERR9709135_	unclassified-kra_ERR9709136_	unclassified-kra_ERR9709137_	unclassified-kra_ERR9709140_	unclassified-kra_ERR9709141_	unclassified-kra_ERR9709142_	unclassified-kra_ERR9709144_	unclassified-kra_ERR9709145_	unclassified-kra_ERR9709146_	unclassified-kra_ERR9709147_	unclassified-kra_ERR9709149_	unclassified-kra_ERR9709155_	unclassified-kra_ERR9709158_	unclassified-kra_ERR9709167_	unclassified-kra_ERR9709172_	unclassified-kra_ERR9709173_	unclassified-kra_ERR9709174_	unclassified-kra_ERR9709177_	unclassified-kra_ERR9709178_	unclassified-kra_ERR9709180_	unclassified-kra_ERR9709184_	unclassified-kra_ERR9709187_	unclassified-kra_ERR9709189_	unclassified-kra_ERR9709190_	unclassified-kra_ERR9709191_	unclassified-kra_ERR9709194_	unclassified-kra_ERR9709195_	unclassified-kra_ERR9709196_	unclassified-kra_ERR9709198_	unclassified-kra_ERR9709199_	unclassified-kra_ERR9709203_	unclassified-kra_ERR9709204_	unclassified-kra_ERR9709208_	unclassified-kra_ERR9709209_	unclassified-kra_ERR9709211_	unclassified-kra_ERR9709214_	unclassified-kra_ERR9709217_	unclassified-kra_ERR9709218_	unclassified-kra_ERR9709219_	unclassified-kra_ERR9709223_	unclassified-kra_ERR9709228_	unclassified-kra_ERR9709232_	unclassified-kra_ERR9709234_	unclassified-kra_ERR9709235_	unclassified-kra_ERR9709237_	unclassified-kra_ERR9709238_	unclassified-kra_ERR9709240_	unclassified-kra_ERR9709243_	unclassified-kra_ERR9709244_	unclassified-kra_ERR9709249_	unclassified-kra_ERR9709253_
unclassified-kra_ERR9709108_	0.128854	0.131981	0.115714	0.135363	0.129245	0.113065	0.123177	0.213706	0.114557	0.115194	0	0.104438	0.166582	0.172863	0.15515	0.179452	0.166361	0.136489	0.152265	0.159557	0.163063	0.160944	0.179364	0.16111	0.153597	0.23447	0.226807	0.249893	0.134349	0.17274	0.187871	0.194218	0.1441	0.201133	0.210174	0.166226	0.214119	0.19503	0.149602	0.180769	0.192284	0.133514	0.206058	0.199198	0.156918	0.162583	0.191692	0.167916	0.272178	0.207354	0.230914	0.208746	0.215504	0.215388	0.153937	0.183782	0.190101	0.160743	0.169766	0.175326	0.174766	0.176065	0.176344	0.175832	0.174936	0.176818	0.173916	0.171945	0.175455	0.168797	0.175648	0.175919	0.200291	0.174591	0.176741	0.175657	0.175645	0.175414	0.175797
unclassified-kra_ERR9709109_	0.0536262	0.0275084	0.0726272	0.0207051	0.093868	0.0157429	0.0202422	0.203576	0.0305162	0.0298541	0.104438	0	0.0349205	0.0780335	0.0300793	0.0355195	0.0864365	0.026713	0.0258509	0.0958417	0.0625371	0.0276065	0.0337209	0.0320609	0.0517437	0.113551	0.112409	0.105744	0.0490471	0.0527233	0.0730536	0.0641593	0.0459517	0.0781886	0.0602737	0.0631099	0.132383	0.062257	0.0473633	0.0806307	0.0574291	0.10158	0.179596	0.148952	0.108904	0.0570839	0.0670185	0.0803544	0.22552	0.085348	0.123199	0.0889483	0.0710494	0.118627	0.0270391	0.0796376	0.040009	0.075401	0.0295	0.0306504	0.0306983	0.0303808	0.0310641	0.0310957	0.0301108	0.0303892	0.0300452	0.0306004	0.0306225	0.0305328	0.0307308	0.0307313	0.0520718	0.0306952	0.0306299	0.0303682	0.0307301	0.0308761	0.0307538
unclassified-kra_ERR9709114_	0.0971573	0.0427073	0.151031	0.0288262	0.134445	0.0391277	0.0335352	0.247637	0.0458715	0.0443003	0.166582	0.0349205	0	0.0544922	0.0241703	0.0242441	0.095644	0.0313646	0.0224708	0.110288	0.0746092	0.0212821	0.022406	0.0261662	0.0674488	0.110166	0.0924112	0.0947033	0.0724154	0.0589983	0.0832272	0.0626767	0.0667351	0.0852593	0.0492935	0.070023	0.150477	0.0638914	0.0660939	0.0955146	0.0516855	0.173186	0.226407	0.188667	0.151738	0.0708828	0.0641375	0.101776	0.247267	0.093222	0.118285	0.096405	0.0599175	0.126391	0.0293143	0.0612478	0.0307447	0.0944977	0.0230128	0.0250446	0.0254128	0.0254249	0.0253789	0.0256592	0.0252916	0.0253792	0.0250021	0.0239372	0.0253617	0.0224541	0.0254861	0.0255495	0.0442997	0.0255451	0.0255229	0.0254082	0.0255418	0.0255069	0.0254286
unclassified-kra_ERR9709115_	0.133099	0.104988	0.170132	0.0927252	0.152012	0.0874301	0.0903515	0.259764	0.10602	0.105283	0.172863	0.0780335	0.0544922	0	0.0776921	0.0896563	0.11863	0.0727543	0.0735167	0.129218	0.111272	0.0786902	0.092732	0.0767637	0.0997703	0.154904	0.138565	0.1607	0.0970824	0.109224	0.12769	0.123532	0.0992341	0.136282	0.130456	0.112817	0.172008	0.122113	0.097696	0.132139	0.113928	0.188064	0.239652	0.208746	0.173487	0.115132	0.133396	0.153851	0.282496	0.139991	0.175033	0.146504	0.13322	0.165555	0.0833657	0.101742	0.10332	0.12466	0.0927156	0.096392	0.0967482	0.0970478	0.0972165	0.0980224	0.0964472	0.0968786	0.095869	0.0940622	0.0970531	0.0903786	0.096867	0.097333	0.119904	0.0971745	0.0970124	0.0966455	0.097022	0.0974459	0.0973053
unclassified-kra_ERR9709117_	0.0901494	0.0368452	0.140134	0.0215711	0.125406	0.0346132	0.0293628	0.235619	0.0395531	0.0385529	0.15515	0.0300793	0.0241703	0.0776921	0	0.00814242	0.0828563	0.0277381	0.018763	0.105257	0.0687973	0.0183914	0.0178341	0.0245753	0.0651379	0.112052	0.102007	0.0938643	0.0709258	0.0549742	0.0773327	0.0570406	0.0614971	0.0793446	0.0425169	0.0662095	0.14708	0.0592486	0.0620232	0.090763	0.0484748	0.161507	0.217861	0.183826	0.142814	0.065692	0.0588084	0.0983772	0.263445	0.0858774	0.117221	0.0903689	0.0532844	0.122296	0.0254854	0.0686519	0.0264482	0.0874467	0.0172303	0.0192729	0.0196791	0.0196243	0.0195748	0.0198444	0.0194166	0.0196468	0.0190039	0.0174625	0.0195351	0.0161674	0.0198427	0.0198576	0.0400489	0.0198983	0.0199579	0.0197233	0.0198656	0.0197709	0.0195944
unclassified-kra_ERR9709118_	0.102481	0.0372079	0.159035	0.0199142	0.142639	0.0402288	0.0298717	0.27314	0.0414291	0.0381486	0.179452	0.0355195	0.0242441	0.0896563	0.00814242	0	0.0995527	0.0322127	0.01802	0.123626	0.0825793	0.0142516	0.0106677	0.0221559	0.0738501	0.116541	0.102596	0.084056	0.0803133	0.058596	0.0869088	0.0557976	0.0705496	0.086861	0.0306724	0.0726751	0.161275	0.0624439	0.0701602	0.104685	0.0440968	0.181921	0.230262	0.205623	0.164175	0.0737492	0.0541616	0.104286	0.265959	0.0941722	0.116621	0.0975305	0.0418088	0.133602	0.025462	0.0689355	0.0186545	0.105359	0.00915319	0.0123318	0.0125129	0.0128039	0.0125373	0.0126779	0.0129274	0.0127259	0.0125522	0.00978347	0.0128748	0.0071366	0.0126028	0.0127346	0.0248668	0.0126143	0.0127789	0.0128597	0.0127196	0.0127898	0.0125735
unclassified-kra_ERR9709119_	0.137416	0.119202	0.159474	0.10563	0.133444	0.0957369	0.102556	0.228943	0.118353	0.11991	0.166361	0.0864365	0.095644	0.11863	0.0828563	0.0995527	0	0.0818089	0.0892841	0.129552	0.113942	0.0952275	0.112865	0.0928865	0.107767	0.177779	0.175894	0.185823	0.0972652	0.120523	0.137373	0.138099	0.102518	0.147243	0.148007	0.119686	0.180458	0.139151	0.102228	0.135669	0.134019	0.183536	0.218499	0.208043	0.17438	0.123366	0.148623	0.165266	0.282496	0.147648	0.18492	0.153626	0.149001	0.172372	0.0948613	0.126171	0.121948	0.121809	0.107736	0.110608	0.111735	0.11154	0.112177	0.112987	0.110892	0.111526	0.110502	0.108863	0.111665	0.10537	0.112213	0.112471	0.136036	0.11196	0.111801	0.111327	0.11145	0.112413	0.11206
unclassified-kra_ERR9709121_	0.0829036	0.0417475	0.125244	0.0295829	0.109263	0.0334335	0.0337621	0.212454	0.0465126	0.0446346	0.136489	0.026713	0.0313646	0.0727543	0.0277381	0.0322127	0.0818089	0	0.0118901	0.0847895	0.0630283	0.0249289	0.0308889	0.0307305	0.0571935	0.113971	0.109704	0.107151	0.0577315	0.0556465	0.0789078	0.0633287	0.0543579	0.0817134	0.0599493	0.0649908	0.132642	0.0653027	0.0544702	0.0856947	0.0578275	0.145678	0.199194	0.170343	0.132642	0.0628935	0.0715639	0.0996254	0.25846	0.0874711	0.124349	0.0939977	0.0699785	0.117222	0.0305027	0.0711528	0.0410693	0.0764708	0.0305505	0.0316534	0.0318361	0.0320233	0.0317396	0.0324494	0.0315526	0.0316773	0.0309881	0.0315204	0.0319347	0.0307943	0.0321415	0.0322118	0.0592826	0.0323089	0.0322075	0.0317483	0.0321827	0.0321029	0.0318952
unclassified-kra_ERR9709122_	0.0843928	0.0340321	0.136469	0.0195102	0.124681	0.0314194	0.0269254	0.233179	0.0379045	0.0351335	0.152265	0.0258509	0.0224708	0.0735167	0.018763	0.01802	0.0892841	0.0118901	0	0.0917935	0.0644423	0.0150987	0.0160097	0.0209651	0.0617755	0.109919	0.102613	0.0917456	0.0661847	0.0517083	0.0745702	0.055905	0.0577622	0.0772558	0.0423662	0.0632186	0.139981	0.0594552	0.0583115	0.0872895	0.0459731	0.157485	0.203464	0.175785	0.140584	0.0640671	0.0570554	0.0959241	0.261625	0.0851206	0.117815	0.0878191	0.0532662	0.118308	0.0240533	0.0674988	0.0255574	0.0831108	0.0155522	0.0173491	0.017494	0.0177823	0.0175649	0.0181044	0.0173724	0.0177081	0.0171878	0.0162212	0.0177024	0.0150002	0.0178244	0.0179733	0.0394502	0.0179063	0.0179175	0.0179104	0.0179139	0.0180765	0.0177656
unclassified-kra_ERR9709123_	0.141843	0.128915	0.157933	0.11712	0.122167	0.10548	0.112565	0.219993	0.130598	0.131007	0.159557	0.0958417	0.110288	0.129218	0.105257	0.123626	0.129552	0.0847895	0.0917935	0	0.122075	0.106674	0.126941	0.105169	0.113404	0.187871	0.186492	0.198656	0.100541	0.12988	0.147648	0.14908	0.108699	0.155933	0.164425	0.126547	0.184394	0.147074	0.10994	0.142835	0.14459	0.185275	0.212409	0.214119	0.174902	0.131076	0.160406	0.177402	0.264207	0.159308	0.193518	0.166565	0.163641	0.178502	0.104866	0.140593	0.135987	0.12498	0.119703	0.123839	0.124096	0.12399	0.124472	0.124992	0.122736	0.124032	0.122496	0.120528	0.12435	0.117916	0.124037	0.124669	0.150062	0.124526	0.124523	0.123482	0.124319	0.124484	0.124649
unclassified-kra_ERR9709124_	0.117941	0.0899185	0.156995	0.0750587	0.134688	0.0710521	0.0737366	0.233729	0.090254	0.0901403	0.163063	0.0625371	0.0746092	0.111272	0.0687973	0.0825793	0.113942	0.0630283	0.0644423	0.122075	0	0.0639186	0.078626	0.0649111	0.0871614	0.157383	0.164323	0.164334	0.0813047	0.0935144	0.115539	0.112066	0.0833723	0.121809	0.115281	0.100885	0.168791	0.113768	0.0833531	0.118775	0.104028	0.176932	0.226948	0.203488	0.164866	0.100529	0.116872	0.142543	0.272178	0.128592	0.169343	0.132358	0.118513	0.158412	0.0681519	0.116776	0.0904739	0.107866	0.074701	0.0787103	0.0789253	0.0789174	0.0792521	0.0799058	0.0781399	0.0790092	0.0781203	0.0758985	0.0789923	0.0724695	0.0792409	0.0791459	0.103043	0.0791405	0.078954	0.0787337	0.0789311	0.0794405	0.0793578
unclassified-kra_ERR9709125_	0.0883731	0.0327588	0.142628	0.0167228	0.127144	0.0316788	0.0244509	0.238875	0.0356819	0.0342801	0.160944	0.0276065	0.0212821	0.0786902	0.0183914	0.0142516	0.0952275	0.0249289	0.0150987	0.106674	0.0639186	0	0.00479934	0.0146342	0.0639113	0.107779	0.100654	0.0858072	0.0691481	0.0519353	0.0760453	0.0529824	0.0625978	0.0767922	0.0347699	0.0628269	0.145121	0.0571656	0.0611797	0.0890749	0.0431855	0.163768	0.217447	0.181753	0.146266	0.0652435	0.0524213	0.0979585	0.267307	0.0846526	0.114609	0.0893601	0.0458837	0.122791	0.0204435	0.0672118	0.0197142	0.0868624	0.0095015	0.0117666	0.0121594	0.0123011	0.0121757	0.0125056	0.0120698	0.0121812	0.011837	0.00989399	0.0123139	0.00825305	0.0124641	0.0125691	0.0306913	0.0123913	0.0124161	0.0123374	0.0123931	0.0124978	0.012313
unclassified-kra_ERR9709126_	0.103522	0.0348246	0.163581	0.0169199	0.141172	0.0378444	0.0268321	0.277447	0.0380655	0.0360851	0.179364	0.0337209	0.022406	0.092732	0.0178341	0.0106677	0.112865	0.0308889	0.0160097	0.126941	0.078626	0.00479934	0	0.0149182	0.0725384	0.1154	0.100396	0.0800632	0.0788451	0.0565903	0.0869357	0.0548456	0.0691354	0.0858562	0.0269196	0.0699681	0.163289	0.0595151	0.0687689	0.104315	0.0409749	0.18386	0.231748	0.19995	0.164774	0.0721418	0.0510059	0.103977	0.253021	0.0944171	0.119017	0.0979814	0.0376314	0.133082	0.0228548	0.0677089	0.0149223	0.104928	0.00551268	0.00889284	0.00898505	0.00926772	0.00914158	0.00907972	0.00932753	0.00916323	0.00907336	0.00645897	0.00931649	0.00369809	0.00898139	0.00918004	0.0202655	0.00902165	0.0090131	0.00921211	0.00913739	0.00921649	0.00914138
unclassified-kra_ERR9709127_	0.0909206	0.0400087	0.141582	0.0247861	0.130036	0.0361405	0.0311686	0.237124	0.042551	0.0409774	0.16111	0.0320609	0.0261662	0.0767637	0.0245753	0.0221559	0.0928865	0.0307305	0.0209651	0.105169	0.0649111	0.0146342	0.0149182	0	0.0675266	0.111943	0.099079	0.0900331	0.0733837	0.057706	0.0790249	0.0591709	0.0651386	0.0806912	0.046009	0.0676729	0.143662	0.0623836	0.0643446	0.0927853	0.0497973	0.158596	0.214545	0.176967	0.145753	0.07011	0.062029	0.0999384	0.266254	0.0854567	0.115053	0.0908968	0.0545168	0.123604	0.0277847	0.0640913	0.028774	0.0883126	0.0195509	0.0217668	0.0221273	0.022223	0.0221213	0.0225054	0.0221275	0.0220389	0.0215241	0.0200895	0.0222326	0.0186673	0.0223957	0.0224503	0.0434678	0.0224201	0.0222837	0.0221062	0.0222485	0.0223919	0.0220831
unclassified-kra_ERR9709129_	0.106254	0.0769676	0.144288	0.0664224	0.106495	0.058531	0.0663523	0.229567	0.0799008	0.0799871	0.153597	0.0517437	0.0674488	0.0997703	0.0651379	0.0738501	0.107767	0.0571935	0.0617755	0.113404	0.0871614	0.0639113	0.0725384	0.0675266	0	0.0606557	0.0521867	0.0938333	0.0653278	0.0780984	0.0833898	0.0673405	0.0536614	0.082968	0.0765535	0.0547639	0.0677487	0.0495753	0.0379559	0.0780179	0.0614977	0.156435	0.19719	0.181696	0.149881	0.0877881	0.105302	0.12371	nan	0.11174	0.150564	0.117311	0.108033	0.138428	0.0589718	0.108169	0.079096	0.0969183	0.0702365	0.0708873	0.0707283	0.0706405	0.0714323	0.0714345	0.0703241	0.0710487	0.0700007	0.0712211	0.0709875	0.0713293	0.0707714	0.0710908	0.0886084	0.0706884	0.0709064	0.0707137	0.0711071	0.0712078	0.071049
